"","cities_2000","ndists_2000","actual_maj_asn_2000","actual_maj_asn_v_2000","actual_maj_blk_2000","actual_maj_blk_v_2000","actual_maj_hisp_2000","actual_maj_hisp_v_2000","actual_maj_wht_2000","actual_maj_wht_v_2000","prop_black_2000","prop_black_v_2000","prop_white_2000","prop_white_v_2000","prop_hisp_2000","prop_hisp_v_2000","prop_asian_2000","prop_asian_v_2000"
"11","charleston",12,0,0,0.416666666666667,0.416666666666667,0,0,0.583333333333333,0.583333333333333,0.3336688321947,0.295827034612071,0.62672245180905,0.666602262538043,0.0155132508413487,0.0148606908581708,0.0122480080000797,0.0124525038367308
"12","chicago",50,0,0,0.4,0.4,0.22,0.2,0.26,0.3,0.363832382809534,0.33771034514789,0.31322835771602,0.367218145316176,0.260277696438452,0.228384941135546,0.0429703307024636,0.0474892793002372
"13","cleveland",21,0,0,0.523809523809524,0.476190476190476,0,0,0.380952380952381,0.476190476190476,0.50513849215208,0.471768626586403,0.387719899767232,0.432999795701584,0.0725593191192587,0.0620346542056405,0.0131770893866901,0.0151752281060713
"14","dallas",14,0,0,0.285714285714286,0.285714285714286,0.214285714285714,0.214285714285714,0.357142857142857,0.428571428571429,0.256446110877576,0.243277562368502,0.345718138600772,0.401686258240444,0.355471388788425,0.311891044549585,0.0265734790142028,0.0282843257588936
"15","davenport",8,0,0,0,0,0,0,1,1,0.0905827486060503,0.0744812110452092,0.813194183295434,0.851924269395429,0.0535291522888253,0.0417703991627762,0.0197872613626629,0.0184162759942118
"16","denver",11,0,0,0,0,0.181818181818182,0.181818181818182,0.545454545454545,0.636363636363636,0.108176095755748,0.0981900664336153,0.518882537629431,0.581880854093692,0.317107752530541,0.267528307443389,0.0272314262044983,0.0279630611681073
"17","des moines",4,0,0,0,0,0,0,1,1,0.0796126696158876,0.067998895151226,0.795833939391363,0.829418714129866,0.0660393842841469,0.0534331028296853,0.0346022331704287,0.032563266859036
"18","durham",3,0,0,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.434561854802958,0.401192673467092,0.424526678032115,0.460185869965686,0.0856663294647244,0.083587544343705,0.0360490466567813,0.0389257401594853
"19","el paso",8,0,0,0,0,1,1,0,0,0.0280350729944509,0.0282700021328371,0.183514020871373,0.211271271761125,0.766089009202293,0.737696683639108,0.0104233138337062,0.0121154085192528
"20","fort wayne",6,0,0,0.166666666666667,0.166666666666667,0,0,0.833333333333333,0.833333333333333,0.168367513364893,0.147306293635361,0.735336433190996,0.772385635168962,0.0570086790738225,0.0494354424694798,0.015483696848022,0.0155151176113465
"21","fort worth",8,0,0,0,0,0.25,0.125,0.5,0.5,0.197043941369167,0.187092165150713,0.463575603828636,0.513863109634786,0.29407919761177,0.255464125375748,0.0275299100266278,0.0282793027426476
"22","garland",8,0,0,0,0,0.125,0,0.75,0.75,0.11769378321457,0.104051140167059,0.532463650597723,0.578608213924001,0.255860175683823,0.224547761182833,0.0728173922500648,0.0750077931155446
"23","greensboro",5,0,0,0.4,0.4,0,0,0.6,0.6,0.357755337062882,0.33754374257314,0.552118214755046,0.580933443433606,0.0420840188475662,0.0401015585865955,0.0274852291668727,0.0251828548712475
"24","indianapolis",25,0,0,0.28,0.28,0,0,0.72,0.72,0.24025170029601,0.218514805684994,0.688624613190325,0.718454783029899,0.038689996286659,0.0357562914690122,0.0141765909311522,0.0149853911112805
"25","kansas city",6,0,0,0.333333333333333,0.333333333333333,0,0,0.666666666666667,0.666666666666667,0.309976521498481,0.279580365296247,0.576458859168166,0.619631105418209,0.0692972379149585,0.060995651811755,0.0183391589946972,0.0188050312134637
"26","lafayette",9,0,0,0.222222222222222,0.222222222222222,0,0,0.777777777777778,0.777777777777778,0.237065567461124,0.214256619910482,0.723071068525893,0.747638150095363,0.0174305844516804,0.0169690351991164,0.0107180620249817,0.0110748638604109
"27","lakeland",4,0,0,0.25,0,0,0,0.75,0.75,0.195827782022757,0.159276287368523,0.707355669133863,0.755689903014621,0.0671220038226187,0.0589536926612423,0.0126868766703744,0.0127458722804634
"28","lexington",12,0,0,0,0,0,0,0.916666666666667,0.916666666666667,0.13387978566975,0.121211921911038,0.791413085648947,0.81032693507179,0.032861989794721,0.0313591024407213,0.0244137140388855,0.0249249522701384
"29","little rock",7,0,0,0.285714285714286,0.285714285714286,0,0,0.428571428571429,0.714285714285714,0.401722273286102,0.359134021355213,0.540725873437678,0.588065316767349,0.0266679913304452,0.0244820339914054,0.0162913128991259,0.0165027720142375
"30","long beach",11,0,0,0,0,0.0909090909090909,0.0909090909090909,0.272727272727273,0.272727272727273,0.14396572119124,0.133056474228242,0.333018175000503,0.402321206164624,0.355915409939787,0.303739895073691,0.11966845509658,0.119818416360369
"31","los angeles",15,0,0,0.0666666666666667,0.0666666666666667,0.466666666666667,0.466666666666667,0.333333333333333,0.333333333333333,0.108788747582742,0.108276257406283,0.297478232634364,0.343415711539301,0.465248206622742,0.408915358962655,0.0987871252768516,0.110649218535904
"32","louisville",26,0,0,0.192307692307692,0.153846153846154,0,0,0.769230769230769,0.807692307692308,0.187431500297308,0.168718008559901,0.764205126961515,0.788937391607751,0.0178343987757044,0.0164295918143824,0.0137859774400238,0.0137474768911711
"33","lubbock",6,0,0,0,0,0.166666666666667,0.166666666666667,0.666666666666667,0.666666666666667,0.0845285594008168,0.0742386894414675,0.613553128122567,0.665990000142114,0.274162661434233,0.232678446074269,0.0150438774421792,0.0159573635547117
"34","madison",20,0,0,0,0,0,0,1,1,0.05783934411958,0.0449589304264919,0.819134561129272,0.850004729719934,0.0412974048019329,0.0358955129995251,0.0574273340575307,0.0525480664142795
